Horas_Trabajo,puntos,Predicted salario
1,1.0,-533422.25984918
2,1.0,-396174.0214635313
3,1.0,-258925.7830778826
4,1.0,-121677.54469223379
5,1.0,15570.693693414796
6,1.0,152818.93207906373
7,1.0,290067.17046471266
8,1.0,427315.4088503611
9,1.0,564563.6472360101
10,1.0,701811.8856216585
11,1.0,839060.1240073075
12,1.0,976308.3623929564
1,2.0,-88953.7764642057
2,2.0,48294.46192144323
3,2.0,185542.70030709193
4,2.0,322790.93869274063
5,2.0,460039.17707838933
6,2.0,597287.415464038
7,2.0,734535.653849687
8,2.0,871783.8922353357
9,2.0,1009032.1306209844
10,2.0,1146280.3690066328
11,2.0,1283528.6073922822
12,2.0,1420776.8457779307
1,3.0,355514.70692076883
2,3.0,492762.94530641753
3,3.0,630011.1836920665
4,3.0,767259.4220777152
5,3.0,904507.6604633639
6,3.0,1041755.8988490128
7,3.0,1179004.1372346617
8,3.0,1316252.3756203102
9,3.0,1453500.6140059587
10,3.0,1590748.8523916076
11,3.0,1727997.0907772565
12,3.0,1865245.329162905
1,4.0,799983.1903057431
2,4.0,937231.4286913918
3,4.0,1074479.6670770408
4,4.0,1211727.9054626897
5,4.0,1348976.1438483382
6,4.0,1486224.382233987
7,4.0,1623472.620619636
8,4.0,1760720.8590052845
9,4.0,1897969.097390933
10,4.0,2035217.335776582
11,4.0,2172465.574162231
12,4.0,2309713.8125478793
1,5.0,1244451.6736907177
2,5.0,1381699.9120763661
3,5.0,1518948.150462015
4,5.0,1656196.388847664
5,5.0,1793444.6272333125
6,5.0,1930692.8656189614
7,5.0,2067941.1040046103
8,5.0,2205189.342390259
9,5.0,2342437.5807759073
10,5.0,2479685.819161556
11,5.0,2616934.057547205
12,5.0,2754182.2959328536
1,6.0,1688920.1570756924
2,6.0,1826168.395461341
3,6.0,1963416.6338469898
4,6.0,2100664.8722326383
5,6.0,2237913.110618287
6,6.0,2375161.349003936
7,6.0,2512409.5873895846
8,6.0,2649657.8257752336
9,6.0,2786906.0641608825
10,6.0,2924154.302546531
11,6.0,3061402.54093218
12,6.0,3198650.779317829
1,0.5,-755656.5015416673
2,0.5,-618408.2631560185
3,0.5,-481160.02477036975
4,0.5,-343911.78638472105
5,0.5,-206663.54799907235
6,0.5,-69415.30961342342
7,0.5,67832.92877222528
8,0.5,205081.16715787398
9,0.5,342329.4055435227
10,0.5,479577.6439291714
11,0.5,616825.8823148203
12,0.5,754074.120700469
1,1.5,-311188.01815669285
2,1.5,-173939.77977104404
3,1.5,-36691.54138539522
4,1.5,100556.69700025348
5,1.5,237804.93538590218
6,1.5,375053.1737715509
7,1.5,512301.4121571998
8,1.5,649549.6505428485
9,1.5,786797.8889284972
10,1.5,924046.1273141459
11,1.5,1061294.365699795
12,1.5,1198542.6040854435
1,2.5,133280.46522828145
2,2.5,270528.7036139304
3,2.5,407776.9419995791
4,2.5,545025.1803852278
5,2.5,682273.4187708765
6,2.5,819521.6571565252
7,2.5,956769.8955421741
8,2.5,1094018.133927823
9,2.5,1231266.3723134715
10,2.5,1368514.61069912
11,2.5,1505762.8490847694
12,2.5,1643011.0874704178
1,3.5,577748.948613256
2,3.5,714997.1869989047
3,3.5,852245.4253845536
4,3.5,989493.6637702025
5,3.5,1126741.902155851
6,3.5,1263990.1405415
7,3.5,1401238.3789271489
8,3.5,1538486.6173127973
9,3.5,1675734.8556984458
10,3.5,1812983.0940840947
11,3.5,1950231.3324697437
12,3.5,2087479.5708553921
1,4.5,1022217.4319982305
2,4.5,1159465.670383879
3,4.5,1296713.908769528
4,4.5,1433962.1471551768
5,4.5,1571210.3855408253
6,4.5,1708458.6239264742
7,4.5,1845706.8623121232
8,4.5,1982955.1006977716
9,4.5,2120203.33908342
10,4.5,2257451.577469069
11,4.5,2394699.815854718
12,4.5,2531948.0542403664
1,5.5,1466685.9153832048
2,5.5,1603934.1537688533
3,5.5,1741182.3921545022
4,5.5,1878430.6305401511
5,5.5,2015678.8689257996
6,5.5,2152927.1073114485
7,5.5,2290175.3456970975
8,5.5,2427423.584082746
9,5.5,2564671.8224683944
10,5.5,2701920.0608540433
11,5.5,2839168.2992396923
12,5.5,2976416.5376253407
